ticker,sources,source_count,max_day,cooldown,min_score,daily_order,select_score,select_pass,test1_pass,test2_pass,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test1_trades,test1_win_rate,test1_profit_factor,test1_pnl_return,test1_avg_return,test1_max_drawdown,test1_call_rate,test1_days_with_trades,test1_daily_win_rate,test1_median_daily_return,test1_daily_max_drawdown,test1_top5_day_return,test1_top5_share_of_pnl,test1_min_month_trades,test1_positive_month_rate,test2_trades,test2_win_rate,test2_profit_factor,test2_pnl_return,test2_avg_return,test2_max_drawdown,test2_call_rate,test2_days_with_trades,test2_daily_win_rate,test2_median_daily_return,test2_daily_max_drawdown,test2_top5_day_return,test2_top5_share_of_pnl,test2_min_month_trades,test2_positive_month_rate
SPY,"d65win,d80,cons_m2s1c45",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"d65win,cons_m2s1c45,d80",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"d80,d65win,cons_m2s1c45",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"d80,cons_m2s1c45,d65win",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"cons_m2s1c45,d65win,d80",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"cons_m2s1c45,d80,d65win",3,3,0,0.0,score_desc,7.499337409734498,True,False,True,380,0.5263157894736842,1.506850785002969,20.165930316308096,0.05306823767449499,-4.742986174419072,0.2657894736842105,127,0.5905511811023622,0.1184863783633923,-4.564154054772625,7.5,0.3719144062465982,57,1.0,597,0.4539363484087102,1.184308787500607,13.012546807510077,0.021796560816599794,-7.342685846609496,0.33500837520938026,248,0.4959677419354839,-0.012307075388414336,-7.042685846609462,7.5,0.5763668028207546,27,0.6666666666666666,259,0.5212355212355212,1.3523600386686372,9.173472648189254,0.03541881331347202,-3.845036271461354,0.6061776061776062,96,0.5625,0.09776684976518295,-3.8450362714613515,5.6537455384945,0.616314644990029,47,0.8
SPY,"d65win,d80,cons_m2s1c45",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
SPY,"d65win,cons_m2s1c45,d80",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
SPY,"d80,d65win,cons_m2s1c45",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
SPY,"d80,cons_m2s1c45,d65win",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
SPY,"cons_m2s1c45,d65win,d80",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
SPY,"cons_m2s1c45,d80,d65win",3,3,0,-999999.0,score_desc,7.473924749380274,True,False,True,382,0.5261780104712042,1.504668620220881,20.134708222617714,0.05270866026863276,-4.853155666800638,0.2670157068062827,128,0.59375,0.10535303021531506,-4.6743235471541915,7.5,0.3724911191697877,58,1.0,634,0.45741324921135645,1.1723540143668103,12.832186201018168,0.020240041326527076,-7.203704370334844,0.3501577287066246,249,0.4979919678714859,-0.010207997336449282,-6.903704370334806,7.5,0.584467828202564,35,0.6666666666666666,267,0.5318352059925093,1.41253691046696,10.863900842780776,0.040688767201426126,-3.645036271461361,0.602996254681648,96,0.5729166666666666,0.10543237538509609,-3.645036271461354,6.1537455384945,0.5664397740323409,50,0.8
