ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.08464659683479059,-0.30000001192092896,0.08464659683479059,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260102,202601,10:30,630,zero_dte,PUT,-0.1547606190931826,-0.30000001192092896,-0.1547606190931826,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260102,202601,11:00,660,zero_dte,PUT,-0.13534678590816127,-0.30000001192092896,-0.13534678590816127,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260105,202601,10:00,600,zero_dte,PUT,-0.15670805513866448,-0.30000001192092896,-0.15670805513866448,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260105,202601,10:30,630,zero_dte,PUT,-0.04719576493106648,-0.30000001192092896,-0.04719576493106648,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260105,202601,11:00,660,zero_dte,PUT,-0.13144027751400925,-0.30000001192092896,-0.13144027751400925,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260106,202601,10:00,600,zero_dte,PUT,-0.0032944811390272005,-0.30000001192092896,-0.0032944811390272005,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260106,202601,10:30,630,zero_dte,PUT,0.15141187868542075,-0.30000001192092896,0.15141187868542075,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260106,202601,11:00,660,zero_dte,PUT,-0.11982536152363753,-0.30000001192092896,-0.11982536152363753,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260107,202601,10:00,600,zero_dte,PUT,-0.20282317942844302,-0.30000001192092896,-0.20282317942844302,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260107,202601,10:30,630,zero_dte,PUT,-0.1421380755441336,-0.30000001192092896,-0.1421380755441336,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260107,202601,11:00,660,zero_dte,PUT,-0.1483594181722145,-0.30000001192092896,-0.1483594181722145,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260108,202601,10:00,600,zero_dte,CALL,-0.12327703816841566,-0.12327703816841566,-0.19540450074929472,0.5,-0.3,0.5,thr-999.000_maxday3,202601
SPY,20260108,202601,10:30,630,zero_dte,PUT,-0.041601236415590805,-0.30000001192092896,-0.041601236415590805,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260108,202601,11:00,660,zero_dte,PUT,-0.02007209769177347,-0.30000001192092896,-0.02007209769177347,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260109,202601,10:00,600,zero_dte,PUT,0.2193807472373112,-0.30000001192092896,0.2193807472373112,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260109,202601,10:30,630,zero_dte,PUT,-0.12312760243866515,-0.30000001192092896,-0.12312760243866515,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260109,202601,11:00,660,zero_dte,PUT,-0.21390269769537465,-0.30000001192092896,-0.21390269769537465,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260112,202601,10:00,600,zero_dte,PUT,-0.07607436651132098,-0.30000001192092896,-0.07607436651132098,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260112,202601,10:30,630,zero_dte,PUT,0.11974773223247619,-0.30000001192092896,0.11974773223247619,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260112,202601,11:00,660,zero_dte,PUT,0.11318717427139058,-0.30000001192092896,0.11318717427139058,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260113,202601,10:00,600,zero_dte,PUT,-0.007845499008592308,-0.30000001192092896,-0.007845499008592308,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260113,202601,10:30,630,zero_dte,PUT,-0.1306401958289895,-0.30000001192092896,-0.1306401958289895,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260113,202601,11:00,660,zero_dte,PUT,-0.035878684910701904,-0.30000001192092896,-0.035878684910701904,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260114,202601,10:00,600,zero_dte,CALL,-0.12327703816841566,-0.12327703816841566,-0.22246591876720945,0.5,-0.3,0.5,thr-999.000_maxday3,202601
SPY,20260114,202601,10:30,630,zero_dte,PUT,-0.2132279569245276,-0.29982503225484075,-0.2132279569245276,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260114,202601,11:00,660,zero_dte,PUT,-0.1335954259775552,-0.29982503225484075,-0.1335954259775552,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260115,202601,10:00,600,zero_dte,PUT,-0.197598200739516,-0.30000001192092896,-0.197598200739516,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260115,202601,10:30,630,zero_dte,PUT,-0.2323508451606845,-0.30000001192092896,-0.2323508451606845,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260115,202601,11:00,660,zero_dte,PUT,-0.20091113707600805,-0.30000001192092896,-0.20091113707600805,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260116,202601,10:00,600,zero_dte,PUT,-0.2928485284315718,-0.30000001192092896,-0.2928485284315718,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260116,202601,10:30,630,zero_dte,PUT,-0.2510211674346495,-0.30000001192092896,-0.2510211674346495,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260116,202601,11:00,660,zero_dte,PUT,-0.12337145299265939,-0.30000001192092896,-0.12337145299265939,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260120,202601,10:00,600,zero_dte,PUT,-0.1006785275375485,-0.29982503225484075,-0.1006785275375485,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260120,202601,10:30,630,zero_dte,PUT,0.07164815737921566,-0.29982503225484075,0.07164815737921566,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260120,202601,11:00,660,zero_dte,PUT,0.05866159656027152,-0.29982503225484075,0.05866159656027152,-0.3,0.5,0.5,thr-999.000_maxday3,202601
SPY,20260121,202601,10:00,600,zero_dte,PUT,-0.16698140603494452,-0.30000001192092896,-0.16698140603494452,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260121,202601,10:30,630,zero_dte,PUT,0.1010607807493389,-0.30000001192092896,0.1010607807493389,0.5,-0.3,-0.3,thr-999.000_maxday3,202601
SPY,20260121,202601,11:00,660,zero_dte,PUT,0.045090288810850435,-0.30000001192092896,0.045090288810850435,-0.3,0.5,0.5,thr-999.000_maxday3,202601
