ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,ABSTAIN_INVALID_VAL,11460,4133,674,-9.999999999999996e+17,True,377,0.32625994694960214,0.7990760720595681,-15.310403309060922,-0.0406111493609043,-17.61040330906099,0.46153846153846156,128,0.25,-0.09999999999999998,-17.510403309060926,7.5,-0.48986299371757175,54,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,ABSTAIN_INVALID_VAL,13618,4073,551,-9.999999999999996e+17,True,371,0.33962264150943394,0.8488380502168585,-11.110403309060919,-0.02994717873062242,-15.510403309060939,0.03504043126684636,126,0.2857142857142857,-0.09999999999999998,-15.310403309060918,7.5,-0.6750430017138523,54,0.16666666666666666,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,ABSTAIN_INVALID_VAL,15648,3955,723,-9.999999999999996e+17,True,363,0.3002754820936639,0.7072125549992007,-22.310403309060916,-0.06146116614066368,-22.310403309060995,0.4931129476584022,124,0.21774193548387097,-0.09999999999999998,-22.310403309060934,7.0,-0.31375497354443127,53,0.16666666666666666,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,ABSTAIN_INVALID_VAL,17748,3977,677,-9.999999999999996e+17,True,366,0.3333333333333333,0.8312930236962358,-12.349350665435562,-0.0337413952607529,-17.800000000000058,0.10382513661202186,125,0.264,-0.09999999999999998,-17.04935066543556,7.5,-0.60731938084742,53,0.16666666666666666,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.392_maxday1,19906,3924,676,7.0653855902717835,False,121,0.5041322314049587,1.6944444444444442,12.5,0.10330578512396695,-1.5999999999999988,0.2231404958677686,121,0.5041322314049587,0.5,-1.5999999999999988,2.5,0.2,18,1.0,20,0.35,0.8974358974358977,-0.39999999999999986,-0.019999999999999993,-1.9000000000000001,0.35,20,0.35,-0.3,-1.9000000000000001,2.5,-6.250000000000003,20,0.0
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,ABSTAIN_INVALID_VAL,21622,4029,656,-9.999999999999996e+17,True,368,0.36684782608695654,0.9656652360515025,-2.4000000000000026,-0.006521739130434789,-7.799999999999994,0.33695652173913043,124,0.31451612903225806,-0.09999999999999998,-7.800000000000001,7.5,-3.1249999999999964,53,0.6666666666666666,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
