ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,selector_source,selector_source_path,stream_selector_mode,stream_selector_source,stream_selector_select_months,candidate_id
QQQ,20250102,202501,10:00,600,zero_dte,PUT,-0.2720000115036964,-0.2938951692628758,-0.2720000115036964,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,600.0,forcedmax3_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,1506.0,1.0,2.0,0.0,18.0,False,fallback_volume_pace,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250102,202501,10:30,630,zero_dte,PUT,-0.3000000119209289,-0.3156554915447391,-0.3000000119209289,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,630.0,forcedmax3_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,1507.0,1.0,2.0,1.0,18.0,False,fallback_volume_pace,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250103,202501,10:00,600,zero_dte,CALL,-0.2011549786396882,-0.2011549786396882,-0.2146423884097601,0.5,-0.3,0.5,thr-0.209_maxday3,202501,600.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,822.0,0.0,3.0,2.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250103,202501,10:45,645,zero_dte,PUT,-0.2050420532446109,-0.3000000119209289,-0.2050420532446109,-0.3,-0.3,-0.3,thr-0.209_maxday3,202501,645.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,823.0,0.0,3.0,3.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250106,202501,10:00,600,zero_dte,CALL,0.0044800987780545,0.0044800987780545,-0.2243637930747013,-0.3,-0.3,-0.3,thr-0.209_maxday3,202501,600.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,824.0,0.0,4.0,4.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250108,202501,10:15,615,zero_dte,CALL,-0.1803418594485562,-0.1803418594485562,-0.2999801344541903,0.5,-0.3,0.5,thr-0.209_maxday3,202501,615.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,825.0,0.0,5.0,5.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250108,202501,11:15,675,zero_dte,PUT,-0.1937950797865357,-0.2720000115036964,-0.1937950797865357,0.5,-0.3,-0.3,thr-0.209_maxday3,202501,675.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,826.0,0.0,5.0,6.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250108,202501,13:00,780,zero_dte,PUT,-0.208149844702119,-0.2720000115036964,-0.208149844702119,0.5,-0.3,-0.3,thr-0.209_maxday3,202501,780.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,827.0,0.0,5.0,7.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250110,202501,10:30,630,zero_dte,CALL,-0.1997906622986871,-0.1997906622986871,-0.3000000119209289,0.5,-0.3,0.5,thr-0.209_maxday3,202501,630.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,828.0,0.0,7.0,8.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250113,202501,10:00,600,zero_dte,CALL,-0.1041782907911912,-0.1041782907911912,-0.3000000119209289,0.5,-0.3,0.5,thr-0.209_maxday3,202501,600.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,829.0,0.0,8.0,9.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
QQQ,20250114,202501,10:00,600,zero_dte,CALL,0.1797601377419689,0.1797601377419689,-0.3000000119209289,0.5,-0.3,0.5,thr-0.209_maxday3,202501,600.0,valthr_d25,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,830.0,0.0,8.0,10.0,18.0,False,primary,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412",
