ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.6860588802294576,0.1817103029689686,0.6860588802294576,-0.3,0.5,0.5,thr0.393_maxday1,202601,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,0,0,2,0,18,False,primary
SPY,20260102,202601,10:30,630,zero_dte,PUT,-0.1547606190931826,-0.3000000119209289,-0.1547606190931826,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,630,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,1,1,2,1,18,False,fallback_volume_pace
SPY,20260105,202601,10:00,600,zero_dte,PUT,-0.1567080551386644,-0.3000000119209289,-0.1567080551386644,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,600,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,3,1,3,2,18,False,fallback_volume_pace
SPY,20260105,202601,12:45,765,zero_dte,PUT,0.4025187408671281,0.3201193643152038,0.4025187408671281,0.5,-0.3,-0.3,thr0.393_maxday1,202601,765,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,1,0,3,3,18,False,primary
SPY,20260106,202601,11:00,660,zero_dte,PUT,0.4103078637396233,0.322904607488186,0.4103078637396233,-0.3,0.5,0.5,thr0.393_maxday1,202601,660,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,2,0,4,4,18,False,primary
SPY,20260107,202601,11:00,660,zero_dte,PUT,0.3951715880620648,0.2970228230167862,0.3951715880620648,-0.3,-0.3,-0.3,thr0.393_maxday1,202601,660,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,3,0,5,5,18,False,primary
SPY,20260108,202601,10:15,615,zero_dte,PUT,0.4002539434557666,0.2438228694424362,0.4002539434557666,-0.3,0.5,0.5,thr0.393_maxday1,202601,615,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,4,0,5,6,18,False,primary
SPY,20260109,202601,10:00,600,zero_dte,CALL,0.3929769004782197,0.3929769004782197,0.2868313144863537,-0.3,-0.3,-0.3,thr0.393_maxday1,202601,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,5,0,6,7,18,False,primary
SPY,20260112,202601,10:00,600,zero_dte,PUT,0.6247896946834106,0.172715401290941,0.6247896946834106,-0.3,-0.3,-0.3,thr0.393_maxday1,202601,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,6,0,7,8,18,False,primary
SPY,20260113,202601,10:00,600,zero_dte,PUT,0.6529472979405375,0.3004487449700139,0.6529472979405375,-0.3,0.5,0.5,thr0.393_maxday1,202601,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,7,0,8,9,18,False,primary
SPY,20260114,202601,10:00,600,zero_dte,CALL,0.4198625532688507,0.4198625532688507,0.176377451754175,0.5,-0.3,0.5,thr0.393_maxday1,202601,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,8,0,9,10,18,False,primary
SPY,20260115,202601,14:15,855,zero_dte,PUT,0.4129311711380372,0.2826072838139006,0.4129311711380372,-0.3,-0.3,-0.3,thr0.393_maxday1,202601,855,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,9,0,9,11,18,False,primary
