arm,ticker,month,rows,mae,rmse,directional_accuracy,mae_to_train_mean_ratio,uncertainty_error_spearman,effective_rank_ratio,max_pc_var_ratio
deterministic,SPXW,202601,1158,0.5985614049362603,0.7667039159562402,0.572538860103627,0.995033455147751,,0.35721705962840683,0.3686774851731316
deterministic,QQQ,202601,900,0.5942740148938424,0.7310300264308384,0.5488888888888889,1.0612223410455062,,0.31958953844517857,0.40676174075421084
deterministic,SPY,202601,1158,0.5961895944508528,0.7372103187454805,0.540587219343696,1.0340009371126553,,0.39840549703965683,0.3258672432687426
deterministic,SPXW,202602,816,0.5683978919774325,0.7317210126147325,0.5759803921568627,0.9607407838419859,,0.27868148543154714,0.5519974918901013
deterministic,QQQ,202602,602,0.5230034713761569,0.649905582947121,0.553156146179402,0.991098458552512,,0.26397546976881275,0.5648321701093242
deterministic,SPY,202602,800,0.5359794930255739,0.675081859431907,0.5975,0.9345302269877193,,0.30335094336452145,0.5089921863190806
deterministic,SPXW,202603,918,0.5812887517588722,0.7122542839046626,0.6296296296296297,0.9859347928642699,,0.3947519328719336,0.3481612062617939
deterministic,QQQ,202603,850,0.5950429380272368,0.7240574087102676,0.5564705882352942,1.004143152930571,,0.3262121579947571,0.42521808412614565
deterministic,SPY,202603,992,0.5670614227648015,0.7027779321247765,0.5997983870967742,0.9574040586865014,,0.37221079224627535,0.3547622061415986
deterministic,SPXW,202604,1186,0.6219338624786591,0.7742572118242743,0.545531197301855,0.9978086261040285,,0.3670840836944287,0.42835785297502443
deterministic,QQQ,202604,870,0.5988028535958324,0.7387664064079117,0.5505747126436782,1.0322350922301642,,0.35433684238034,0.4308146912657332
deterministic,SPY,202604,1050,0.625099990870231,0.7693045840772319,0.5114285714285715,1.0613701033064529,,0.31801932357126544,0.4597911991517961
deterministic,SPXW,202605,1172,0.6046146736598894,0.7402474717202274,0.5930034129692833,0.9883768278389413,,0.3279115029940787,0.4553357215251336
deterministic,QQQ,202605,932,0.6317635415490555,0.7773858374670662,0.5364806866952789,1.1018270856757175,,0.34550792857590057,0.41457102947678737
deterministic,SPY,202605,1166,0.6253791873826539,0.7639833470511879,0.5128644939965694,1.046154543446867,,0.30462770246129023,0.48239682170072834
