ticker,test_month,mode,selected_source,source_path,train_months,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_stream,source_file
SPXW,202501,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312","202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",-999944.0212398414,325,0.48,1.5471827830123768,27.372118096543517,0.08422190183551852,-4.800000000000011,0.16923076923076924,236,0.5211864406779662,0.2,-4.299999999999997,7.0,0.25573468502914076,18,0.75,21,0.38095238095238093,1.025641025641026,0.10000000000000026,0.0047619047619047745,-1.2,0.0,20,0.4,-0.3,-1.2,2.5,24.999999999999936,21,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202502,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401","202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501",-999944.3323511799,324,0.47530864197530864,1.5180880569643687,26.072118096543512,0.0804695002979738,-4.800000000000011,0.15432098765432098,235,0.5148936170212766,0.2,-4.299999999999997,7.0,0.26848604988974867,18,0.75,19,0.5789473684210527,2.291666666666667,3.1000000000000005,0.16315789473684214,-1.2000000000000002,0.5263157894736842,19,0.5789473684210527,0.5,-1.2000000000000002,2.5,0.8064516129032256,19,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202503,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402","202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502",-999942.9064842497,323,0.49226006191950467,1.6259231229444973,30.372118096543517,0.09403132537629572,-4.800000000000011,0.1826625386996904,234,0.5384615384615384,0.2,-4.299999999999997,7.0,0.23047454174085513,18,0.8333333333333334,22,0.5454545454545454,2.0000000000000004,3.000000000000001,0.1363636363636364,-0.6,0.22727272727272727,21,0.5714285714285714,0.5,-0.6,2.5,0.833333333333333,22,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202504,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403","202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503",58.65346533783077,314,0.5127388535031847,1.7600431708200672,34.51892088640207,0.10993286906497475,-4.800000000000011,0.20382165605095542,239,0.5355648535564853,0.5,-4.299999999999997,7.0,0.20278733576394875,18,0.9166666666666666,21,0.5714285714285714,2.2222222222222223,3.3,0.15714285714285714,-1.0,0.6190476190476191,21,0.5714285714285714,0.5,-1.0,2.5,0.7575757575757576,21,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202505,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404","202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504",59.49431906615767,312,0.5256410256410257,1.8543132660100945,37.51892088640207,0.120252951558981,-4.800000000000011,0.2467948717948718,238,0.5504201680672269,0.5,-4.299999999999997,7.0,0.18657253019601105,18,0.9166666666666666,21,0.5714285714285714,2.2222222222222223,3.3000000000000007,0.15714285714285717,-0.8999999999999995,0.47619047619047616,21,0.5714285714285714,0.5,-0.8999999999999995,2.5,0.7575757575757575,21,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202506,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405","202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505",60.00000447827054,310,0.532258064516129,1.9159745917885358,39.40252745915683,0.12710492728760267,-4.800000000000011,0.27741935483870966,237,0.5569620253164557,0.5,-4.299999999999997,7.0,0.17765357837148735,18,0.9166666666666666,20,0.65,3.095238095238095,4.4,0.22000000000000003,-0.9,0.3,20,0.65,0.5,-0.9,2.5,0.5681818181818181,20,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202507,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406","202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506",60.99828942869998,312,0.5480769230769231,2.0193754219218323,43.1195803472935,0.13820378316440224,-4.800000000000011,0.2692307692307692,240,0.575,0.5,-4.299999999999997,7.0,0.1623392422565488,18,0.9166666666666666,42,0.6190476190476191,2.7083333333333335,8.2,0.1952380952380952,-0.9999999999999991,0.16666666666666666,21,0.9047619047619048,0.2,-0.6000000000000001,5.0,0.6097560975609757,42,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202508,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407","202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507",61.07029083785605,332,0.5451807228915663,1.9960172262095697,45.11958034729351,0.13590235044365515,-4.800000000000011,0.2710843373493976,240,0.5916666666666667,0.5,-4.3000000000000025,7.0,0.15514328693041343,18,0.9166666666666666,22,0.6818181818181818,3.571428571428571,5.4,0.24545454545454548,-0.5999999999999996,0.36363636363636365,21,0.7142857142857143,0.5,-0.5999999999999996,2.5,0.4629629629629629,22,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202509,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408","202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508",61.056605367249354,289,0.5536332179930796,2.0651054353305813,41.2195803472935,0.1426283056999775,-4.799999999999998,0.28027681660899656,239,0.6108786610878661,0.5,-4.299999999999999,5.0,0.1213015745884056,18,0.9166666666666666,22,0.5,1.666666666666667,2.2,0.1,-2.0000000000000004,0.3181818181818182,20,0.5,0.1,-2.0000000000000004,3.0,1.3636363636363635,22,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
SPXW,202510,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409","202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509",60.123087515967356,289,0.5397923875432526,1.9528716879020926,38.019580347293505,0.13155564134011594,-4.799999999999999,0.2698961937716263,239,0.5899581589958159,0.5,-4.3,5.0,0.13151118329889547,18,0.9166666666666666,24,0.75,5.0,7.2,0.3,-0.5999999999999996,0.4583333333333333,23,0.7391304347826086,0.5,-0.5999999999999996,3.0,0.41666666666666663,24,1.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s12_m18_vw2p0\spxw\stream_selector_folds.csv
