ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.6860588802294576,0.1817103029689686,0.6860588802294576,-0.3,0.5,0.5,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,0,0,2,0,18,False,primary
SPY,20260102,202601,10:30,630,zero_dte,PUT,-0.1547606190931826,-0.3000000119209289,-0.1547606190931826,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,630,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,1,1,2,1,18,False,fallback_volume_pace
SPY,20260105,202601,10:00,600,zero_dte,CALL,0.3275443631058165,0.3275443631058165,0.2014187482971648,0.5,-0.3,0.5,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,1,0,3,2,18,False,primary
SPY,20260106,202601,10:00,600,zero_dte,PUT,0.3507399499460343,0.2139335783533915,0.3507399499460343,0.5,-0.3,-0.3,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,2,0,4,3,18,False,primary
SPY,20260107,202601,10:00,600,zero_dte,CALL,0.3833332762693611,0.3833332762693611,0.2344787841095603,-0.3,0.5,-0.3,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,3,0,5,4,18,False,primary
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.3426337321782548,0.3426337321782548,0.2210085432358023,0.5,-0.3,0.5,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,4,0,5,5,18,False,primary
SPY,20260109,202601,10:00,600,zero_dte,CALL,0.3929769004782197,0.3929769004782197,0.2868313144863537,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,5,0,6,6,18,False,primary
SPY,20260112,202601,10:00,600,zero_dte,PUT,0.6247896946834106,0.172715401290941,0.6247896946834106,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,6,0,7,7,18,False,primary
SPY,20260113,202601,10:00,600,zero_dte,PUT,0.6529472979405375,0.3004487449700139,0.6529472979405375,-0.3,0.5,0.5,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,7,0,8,8,18,False,primary
SPY,20260114,202601,10:00,600,zero_dte,CALL,0.4198625532688507,0.4198625532688507,0.176377451754175,0.5,-0.3,0.5,thr-999.000_maxday1,202601,600,win_no_scorethr_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_no_scorethr_d25_physctx_wf2026_fullmayjun_spy_v1\event_option_gate_trades.csv,8,0,9,9,18,False,primary
