ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPXW,20260102,202601,10:00,600,zero_dte,PUT,0.6879734757402601,0.1861560744204235,0.6879734757402601,-0.3,0.5,0.5,thr0.412_maxday1,202601,600,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,0,0,2,0,18,False,primary
SPXW,20260102,202601,10:30,630,zero_dte,PUT,-0.1607046211827649,-0.3000000119209289,-0.1607046211827649,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,630,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,1,1,2,1,18,False,fallback_volume_pace
SPXW,20260105,202601,10:00,600,zero_dte,PUT,-0.1702461836783724,-0.3000000119209289,-0.1702461836783724,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,600,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,3,1,3,2,18,False,fallback_volume_pace
SPXW,20260105,202601,14:15,855,zero_dte,PUT,0.4628774569588814,0.2607184537951776,0.4628774569588814,-0.3,-0.3,-0.3,thr0.412_maxday1,202601,855,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,1,0,3,3,18,False,primary
SPXW,20260106,202601,11:30,690,zero_dte,PUT,0.4263399686188102,0.2963290013767545,0.4263399686188102,-0.3,0.5,0.5,thr0.412_maxday1,202601,690,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,2,0,4,4,18,False,primary
SPXW,20260107,202601,13:45,825,zero_dte,PUT,0.4220949827922184,0.3084707889290764,0.4220949827922184,0.5,-0.3,-0.3,thr0.412_maxday1,202601,825,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,3,0,5,5,18,False,primary
SPXW,20260108,202601,10:15,615,zero_dte,PUT,0.4377499705840323,0.2251432699381234,0.4377499705840323,-0.3,0.5,0.5,thr0.412_maxday1,202601,615,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,4,0,5,6,18,False,primary
SPXW,20260109,202601,10:00,600,zero_dte,CALL,0.4300565211356962,0.4300565211356962,0.2667687633314191,-0.3,-0.3,-0.3,thr0.412_maxday1,202601,600,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,5,0,6,7,18,False,primary
SPXW,20260112,202601,10:00,600,zero_dte,PUT,0.6211808834115053,0.1484344813608925,0.6211808834115053,-0.3,-0.3,-0.3,thr0.412_maxday1,202601,600,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,6,0,7,8,18,False,primary
SPXW,20260113,202601,10:00,600,zero_dte,PUT,0.6694155180321694,0.2987931011864225,0.6694155180321694,-0.3,0.5,0.5,thr0.412_maxday1,202601,600,win_valthr_wr45_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_wf2026_fulljun_excl202605_spxw_v1\event_option_gate_trades.csv,7,0,8,9,18,False,primary
