ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id,selector_source,selector_source_path,stream_selector_mode,stream_selector_source,stream_selector_select_months
QQQ,20250102,202501,10:00,600,zero_dte,PUT,-0.2720000115036964,-0.2938951692628758,-0.2720000115036964,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,600.0,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\qqq\stream_selector_trades.csv,1506.0,1.0,2.0,0.0,18.0,False,fallback_volume_pace,,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412"
SPXW,20250102,202501,10:00,600,zero_dte,PUT,0.5827917869124356,0.1765882385718877,0.5827917869124356,-0.3,-0.3,-0.3,thr0.437_maxday1,202501,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spxw\stream_selector_trades.csv,572.0,0.0,2.0,0.0,18.0,False,primary,659.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202407,202408,202409,202410,202411,202412"
SPY,20250102,202501,10:00,600,zero_dte,PUT,0.5758627289506485,0.1862887714376893,0.5758627289506485,-0.3,-0.3,-0.3,thr0.430_maxday1,202501,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202407,202408,202409,202410,202411,202412"
QQQ,20250102,202501,10:30,630,zero_dte,PUT,-0.3000000119209289,-0.3156554915447391,-0.3000000119209289,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,630.0,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\qqq\stream_selector_trades.csv,1507.0,1.0,2.0,1.0,18.0,False,fallback_volume_pace,,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412"
SPXW,20250102,202501,10:30,630,zero_dte,PUT,0.3181816460795575,-0.3000000119209289,0.3181816460795575,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,630.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spxw\stream_selector_trades.csv,1507.0,1.0,2.0,1.0,18.0,False,fallback_volume_pace,660.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202407,202408,202409,202410,202411,202412"
QQQ,20250103,202501,10:00,600,zero_dte,CALL,-0.2011549786396882,-0.2011549786396882,-0.2146423884097601,0.5,-0.3,0.5,thr-0.209_maxday3,202501,600.0,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\qqq\stream_selector_trades.csv,822.0,0.0,3.0,2.0,18.0,False,primary,,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412"
SPXW,20250103,202501,10:00,600,zero_dte,PUT,0.5018151148800398,0.2789369223355266,0.5018151148800398,0.5,-0.3,-0.3,thr0.437_maxday1,202501,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spxw\stream_selector_trades.csv,573.0,0.0,3.0,2.0,18.0,False,primary,661.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202407,202408,202409,202410,202411,202412"
SPY,20250103,202501,10:00,600,zero_dte,PUT,0.4660062005360774,0.3316287872484567,0.4660062005360774,0.5,-0.3,-0.3,thr0.430_maxday1,202501,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202407,202408,202409,202410,202411,202412"
QQQ,20250103,202501,10:45,645,zero_dte,PUT,-0.2050420532446109,-0.3000000119209289,-0.2050420532446109,-0.3,-0.3,-0.3,thr-0.209_maxday3,202501,645.0,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\qqq\stream_selector_trades.csv,823.0,0.0,3.0,3.0,18.0,False,primary,,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412"
QQQ,20250106,202501,10:00,600,zero_dte,CALL,0.0044800987780545,0.0044800987780545,-0.2243637930747013,-0.3,-0.3,-0.3,thr-0.209_maxday3,202501,600.0,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\qqq\stream_selector_trades.csv,824.0,0.0,4.0,4.0,18.0,False,primary,,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill18_max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_monthly_backfill1_monthly_volume_backfill,"202407,202408,202409,202410,202411,202412"
SPXW,20250106,202501,10:00,600,zero_dte,PUT,0.4932404241378992,0.2889397859522202,0.4932404241378992,0.5,-0.3,-0.3,thr0.437_maxday1,202501,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spxw\stream_selector_trades.csv,574.0,0.0,4.0,3.0,18.0,False,primary,662.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202407,202408,202409,202410,202411,202412"
SPY,20250106,202501,10:00,600,zero_dte,PUT,0.4323673280405977,0.2944593348272559,0.4323673280405977,-0.3,-0.3,-0.3,thr0.430_maxday1,202501,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202407,202408,202409,202410,202411,202412"
SPXW,20250107,202501,10:00,600,zero_dte,PUT,0.7965249399789757,0.1348887809513048,0.7965249399789757,-0.3,0.5,0.5,thr0.437_maxday1,202501,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m18_vw0p1\spxw\stream_selector_trades.csv,575.0,0.0,4.0,4.0,18.0,False,primary,663.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202407,202408,202409,202410,202411,202412"
