date,daily_pnl,cum_pnl
20250102,-7500.0,-7500.0
20250103,-2000.0,-9500.0
20250106,-4500.0,-14000.0
20250107,5000.0,-9000.0
20250108,4500.0,-4500.0
20250109,0.0,-4500.0
20250110,7500.0,3000.0
20250113,-500.0,2500.0
20250114,6000.0,8500.0
20250115,-4500.0,4000.0
20250116,-2000.0,2000.0
20250117,-3500.0,-1500.0
20250120,0.0,-1500.0
20250121,3500.0,2000.0
20250122,-7500.0,-5500.0
20250123,-7500.0,-13000.0
20250124,4500.0,-8500.0
20250127,5000.0,-3500.0
20250128,-500.0,-4000.0
20250129,-231.70717080954182,-4231.707170809542
20250130,3500.0,-731.7071708095418
20250131,-3500.0,-4231.707170809542
20250203,500.0,-3731.707170809542
20250204,4500.0,768.2928291904582
20250205,8500.0,9268.292829190457
20250206,-3500.0,5768.292829190457
20250207,12500.0,18268.292829190457
20250210,500.0,18768.292829190457
20250211,-3500.0,15268.292829190457
20250212,4500.0,19768.292829190457
20250213,500.0,20268.292829190457
20250214,-3500.0,16768.292829190457
20250217,0.0,16768.292829190457
20250218,-3500.0,13268.292829190457
20250219,500.0,13768.292829190457
20250220,4500.0,18268.292829190457
20250221,4500.0,22768.292829190457
20250224,8500.0,31268.292829190457
20250225,4500.0,35768.29282919045
20250226,-3500.0,32268.292829190454
20250227,8500.0,40768.29282919045
20250228,-7500.0,33268.29282919045
20250303,-7500.0,25768.292829190454
20250304,2000.0,27768.292829190454
20250305,-2000.0,25768.292829190454
20250306,2000.0,27768.292829190454
20250307,-6000.0,21768.292829190454
20250310,10000.0,31768.292829190454
20250311,10000.0,41768.29282919045
20250312,-6000.0,35768.29282919045
20250313,10000.0,45768.29282919045
20250314,6000.0,51768.29282919045
20250317,-2000.0,49768.29282919045
20250318,2000.0,51768.29282919045
20250319,-6000.0,45768.29282919045
20250320,6000.0,51768.29282919045
20250321,-6000.0,45768.29282919045
20250324,-6000.0,39768.29282919045
20250325,-2000.0,37768.29282919045
20250326,10000.0,47768.29282919045
20250327,2000.0,49768.29282919045
